name,profilelink,monthlyviews,totalviews,questions,answers,followers
Gabriel-Weinberg,https://www.quora.com/profile/Gabriel-Weinberg,145900000,1100000000,2,97,73389
பாலாஜி-விஸ்வநாதன்-Balaji-Viswanathan,https://www.quora.com/profile/பாலாஜி-விஸ்வநாதன்-Balaji-Viswanathan,4700000,344700000,165,5005,531697
Franklin-Veaux,https://www.quora.com/profile/Franklin-Veaux,6200000,262600000,15,28197,131105
Sean-Kernan,https://www.quora.com/profile/Sean-Kernan,15800000,237700000,2650,3454,212875
Richard-Muller-3,https://www.quora.com/profile/Richard-Muller-3,1300000,175200000,8,2377,304778
Ernest-W-Adams,https://www.quora.com/profile/Ernest-W-Adams,1000000,155000000,367,24449,77423
Robert-Frost-1,https://www.quora.com/profile/Robert-Frost-1,1600000,153000000,28,7408,252359
Dushka-Zapata,https://www.quora.com/profile/Dushka-Zapata,2100000,142700000,38,5594,199570
Dan-Holliday,https://www.quora.com/profile/Dan-Holliday,1600000,137100000,436,15974,109063
अवधेश-सिंह-Awdhesh-Singh,https://www.quora.com/profile/अवधेश-सिंह-Awdhesh-Singh,2200000,135300000,277,4897,268734
Jon-Mixon-1,https://www.quora.com/profile/Jon-Mixon-1,5300000,133900000,1439,25478,37381
Gordon-Miller-21,https://www.quora.com/profile/Gordon-Miller-21,1100000,124900000,93,8055,137737
Kelsey-L-Hayes,https://www.quora.com/profile/Kelsey-L-Hayes,1400000,110600000,55,8397,59282
Matthew-Bates-27,https://www.quora.com/profile/Matthew-Bates-27,3300000,110300000,81,6338,73684
Garrick-Saito,https://www.quora.com/profile/Garrick-Saito,1700000,94800000,5151,24346,46023
James-Altucher,https://www.quora.com/profile/James-Altucher,504600,94100000,321,955,251820
Habib-Fanny,https://www.quora.com/profile/Habib-Fanny,1500000,92500000,670,7322,89058
Jay-Bazzinotti,https://www.quora.com/profile/Jay-Bazzinotti,734200,90700000,73,10149,45753
Peter-Flom,https://www.quora.com/profile/Peter-Flom,527800,87800000,859,22495,74783
दीपक-मेहता-Deepak-Mehta,https://www.quora.com/profile/दीपक-मेहता-Deepak-Mehta,1500000,86300000,852,3618,154500
Julia-Reece-2,https://www.quora.com/profile/Julia-Reece-2,3500000,83400000,10,9193,9712
Asim-Qureshi-17,https://www.quora.com/profile/Asim-Qureshi-17,2200000,78200000,17,827,112525
Liang-Hai-Sie,https://www.quora.com/profile/Liang-Hai-Sie,992100,76700000,8,28689,18849
Tom-Stagliano,https://www.quora.com/profile/Tom-Stagliano,1200000,74200000,154,33694,39242
Andrew-Weill,https://www.quora.com/profile/Andrew-Weill,1300000,73400000,30,12269,68096
State-Bank-of-India-SBI-1,https://www.quora.com/profile/State-Bank-of-India-SBI-1,7300000,73200000,1,1043,23766
Dave-Consiglio,https://www.quora.com/profile/Dave-Consiglio,1500000,70500000,107,6124,85133
Stephanie-Vardavas,https://www.quora.com/profile/Stephanie-Vardavas,732300,69100000,2541,24632,53582
