name,profilelink,monthlyviews,totalviews,questions,answers,followers
Gabriel-Weinberg,https://www.quora.com/profile/Gabriel-Weinberg,145900000,1100000000,2,97,73389
Sean-Kernan,https://www.quora.com/profile/Sean-Kernan,15800000,237700000,2650,3454,212875
State-Bank-of-India-SBI-1,https://www.quora.com/profile/State-Bank-of-India-SBI-1,7300000,73200000,1,1043,23766
Henry-Ward,https://www.quora.com/profile/Henry-Ward,6500000,23100000,0,21,1326
Franklin-Veaux,https://www.quora.com/profile/Franklin-Veaux,6200000,262600000,15,28197,131105
Jon-Mixon-1,https://www.quora.com/profile/Jon-Mixon-1,5300000,133900000,1439,25478,37381
Nitin-Kumar-400,https://www.quora.com/profile/Nitin-Kumar-400,5100000,7300000,0,1171,414
பாலாஜி-விஸ்வநாதன்-Balaji-Viswanathan,https://www.quora.com/profile/பாலாஜி-விஸ்வநாதன்-Balaji-Viswanathan,4700000,344700000,165,5005,531697
Rizwan-Ali-185,https://www.quora.com/profile/Rizwan-Ali-185,4700000,17000000,27,1115,785
Jaideep-Singh-Gill-3,https://www.quora.com/profile/Jaideep-Singh-Gill-3,4300000,20600000,37,3330,1589
Pablo-Macias-9,https://www.quora.com/profile/Pablo-Macias-9,4099999,28500000,6,49,565
Atom-Giandomenico,https://www.quora.com/profile/Atom-Giandomenico,3700000,7500000,0,333,902
Julia-Reece-2,https://www.quora.com/profile/Julia-Reece-2,3500000,83400000,10,9193,9712
Eileen-Wood-2,https://www.quora.com/profile/Eileen-Wood-2,3500000,26000000,0,17372,2214
Adam-Fayed,https://www.quora.com/profile/Adam-Fayed,3400000,40100000,4,8427,9515
Matthew-Bates-27,https://www.quora.com/profile/Matthew-Bates-27,3300000,110300000,81,6338,73684
Kathryn-Berck-3,https://www.quora.com/profile/Kathryn-Berck-3,3300000,42300000,20,5041,19661
Anubhav-Jain-179,https://www.quora.com/profile/Anubhav-Jain-179,3100000,45800000,0,1891,49004
Charissa-Enget,https://www.quora.com/profile/Charissa-Enget,3100000,31700000,20,623,36688
Abid-Hassan,https://www.quora.com/profile/Abid-Hassan,3100000,9200000,15,107,3365
Ethan-James-22,https://www.quora.com/profile/Ethan-James-22,3000000,26300000,2515,1197,18931
Aditya-941,https://www.quora.com/profile/Aditya-941,3000000,5200000,0,127,1079
Kurt-Guntheroth-1,https://www.quora.com/profile/Kurt-Guntheroth-1,2900000,40600000,9,5715,16819
Roland-Bartetzko,https://www.quora.com/profile/Roland-Bartetzko,2800000,64800000,12,1461,37980
Prakarsh-Gagdani-2,https://www.quora.com/profile/Prakarsh-Gagdani-2,2600000,10500000,4,2041,6413
Hector-Quintanilla,https://www.quora.com/profile/Hector-Quintanilla,2500000,40700000,73,1040,76119
John-Cate-2,https://www.quora.com/profile/John-Cate-2,2400000,61700000,3,8713,23991
Samantha-Kannan,https://www.quora.com/profile/Samantha-Kannan,2400000,39400000,12,1733,47981
शुभम-भट्ट-Shubham-Bhatt,https://www.quora.com/profile/शुभम-भट्ट-Shubham-Bhatt,2400000,10900000,283,484,6451
Ankita-Srivastava-336,https://www.quora.com/profile/Ankita-Srivastava-336,2400000,5600000,1,315,6716
Chloe-Lynn-46,https://www.quora.com/profile/Chloe-Lynn-46,2400000,2400000,0,214,1522
Dima-Vorobiev,https://www.quora.com/profile/Dima-Vorobiev,2300000,53700000,59,3614,30952
LD-Petterson,https://www.quora.com/profile/LD-Petterson,2300000,10500000,1,1421,3312
